"Name","Release","Developer","Publisher","Rating","Genre","Critics_Score","Number_Critics","Number_Critics_Pos","Number_Critics_Mixed","Number_Critics_Negative","User_score","Number_User","Number_User_Pos","Number_User_Mixed","Number_User_Negative","url","image","Mean_score","colour"
"Mortal Kombat: Deadly Alliance","2002-11-16","Midway","Midway","Rated M","Fighting",79,31,25,6,0,7.7,88,51,34,3,"https://www.metacritic.com/game/mortal-kombat-deadly-alliance/","https://www.metacritic.com/a/img/resize/8b77b5733b8c0a2cad3ffde0e21cdc6c84e3fe26/catalog/provider/6/3/6-1-16469-13.jpg?auto=webp&fit=cover&height=132&width=88",7.8,"Good"
"Pokemon Pinball: Ruby & Sapphire","2003-08-26","Jupiter Corporation","Nintendo","Rated E","Board and arcade",81,22,15,7,0,7.8,59,42,14,3,"https://www.metacritic.com/game/pokemon-pinball-ruby-and-sapphire/","https://www.metacritic.com/a/img/resize/fd016f8de86d3d4e8c64551cf134abf2c938452a/catalog/provider/6/3/6-1-53830-13.jpg?auto=webp&fit=cover&height=132&width=88",7.95,"Good"
"Pokemon FireRed Version","2004-09-07","Game Freak","Nintendo","Rated E","RPG",81,38,28,10,0,8.5,615,522,73,20,"https://www.metacritic.com/game/pokemon-firered-version/","https://www.metacritic.com/a/img/resize/28b4fc0a4511bca7cf2041b4f0daf7c562895196/catalog/provider/6/3/6-1-57380-13.jpg?auto=webp&fit=cover&height=132&width=88",8.3,"Good"
"Pokemon LeafGreen Version","2004-09-07","Game Freak","Nintendo","Rated E","RPG",81,36,27,9,0,8.4,265,218,29,18,"https://www.metacritic.com/game/pokemon-leafgreen-version/","https://www.metacritic.com/a/img/resize/3d00b186a6d71eca0700e53c230e23e93c332aee/catalog/provider/6/3/6-1-57386-13.jpg?auto=webp&fit=cover&height=132&width=88",8.25,"Good"
"Harvest Moon: Friends of Mineral Town","2003-11-17","TOSE","Natsume","Rated E","Simulation",81,25,20,5,0,7.2,62,45,2,15,"https://www.metacritic.com/game/harvest-moon-friends-of-mineral-town/","https://www.metacritic.com/a/img/resize/431036e3e881acfe5a5ad02879be7a53a7ade183/catalog/provider/6/3/6-1-52501-13.jpg?auto=webp&fit=cover&height=132&width=88",7.65,"Good"
"Breath of Fire II","2002-04-16","Capcom","Capcom","Rated E","RPG",81,16,12,4,0,8.7,30,25,3,2,"https://www.metacritic.com/game/breath-of-fire-ii/","https://www.metacritic.com/a/img/resize/03feef8146aa3f7e7211440bff5d143b1a31763d/catalog/provider/6/3/6-1-16379-13.jpg?auto=webp&fit=cover&height=132&width=88",8.4,"Good"
"Mega Man Battle Network 2","2002-06-17","Capcom","Capcom","Rated E","RPG",81,15,12,3,0,7.1,42,27,6,9,"https://www.metacritic.com/game/mega-man-battle-network-2/","https://www.metacritic.com/a/img/resize/28d4b79de4a51f1189233e680d501bd38be52ff3/catalog/provider/6/12/6-1-558268-52.jpg?auto=webp&fit=cover&height=132&width=88",7.6,"Good"
"Ecks vs. Sever","2001-11-27","Crawfish Interactive","Bam Entertainment","Rated T","Shooter",80,20,13,7,0,7,4,2,2,0,"https://www.metacritic.com/game/ecks-vs-sever/","https://www.metacritic.com/a/img/resize/d26d797610cf9204110d3f94bd82ebcf33c2ee22/catalog/provider/6/3/6-1-15727-13.jpg?auto=webp&fit=cover&height=132&width=88",7.5,"Good"
"Broken Sword: The Shadow of the Templars","2002-03-17","Revolution Software","Bam Entertainment","Rated T","Action/Adventure",80,17,14,3,0,8,21,16,4,1,"https://www.metacritic.com/game/broken-sword-the-shadow-of-the-templars/","https://www.metacritic.com/a/img/resize/9603eebde439e906c17500790b4eefca0f120a7d/catalog/provider/6/3/6-1-2088-13.jpg?auto=webp&fit=cover&height=132&width=88",8,"Good"
"TMNT","2007-03-20","Ubisoft Montreal","Ubisoft","Rated E +10","Fighting",58,31,3,23,5,6.5,21,5,14,2,"https://www.metacritic.com/game/tmnt/","https://www.metacritic.com/a/img/resize/2758bf570ad761486c8932186fbc6e73b93c835a/catalog/provider/6/3/6-1-78530-13.jpg?auto=webp&fit=cover&height=132&width=88",6.15,"Mixed"
"Colin McRae Rally 2.0","2001-02-13","Codemasters","Codemasters","Rated E","Racing",83,14,13,1,0,8.8,112,97,15,0,"https://www.metacritic.com/game/colin-mcrae-rally-2-0/","https://www.metacritic.com/a/img/resize/dad0b5f543378695c56f180063b773d3a28b9c7f/catalog/provider/6/3/6-1-16700-13.jpg?auto=webp&fit=cover&height=132&width=88",8.55,"Good"
"The King of Fighters EX2: Howling Blood","2003-12-11","Marvelous Entertainment","Atlus","Rated T","Fighting",80,10,9,1,0,7.9,11,8,1,2,"https://www.metacritic.com/game/the-king-of-fighters-ex2-howling-blood/","https://www.metacritic.com/a/img/resize/c0e19e205ae1d0c80969971ca2b53de61ef1c009/catalog/provider/6/3/6-1-44167-13.jpg?auto=webp&fit=cover&height=132&width=88",7.95,"Good"
"Ultimate Brain Games","2003-03-18","Cosmigo","Telegames","Rated E","Board and arcade",80,9,7,2,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/ultimate-brain-games/","https://www.metacritic.com/a/img/resize/2cd0fd31bc9ba8bcb583b18e66880da869c5b82a/catalog/provider/6/3/6-1-30090-13.jpg?auto=webp&fit=cover&height=132&width=88",8,"Good"
"Disney's Lilo & Stitch (2002)","2002-06-07","Digital Eclipse","Disney Interactive","Rated E","Platformer",80,11,7,4,0,6,7,2,4,1,"https://www.metacritic.com/game/disneys-lilo-and-stitch-2002/","https://www.metacritic.com/a/img/resize/afdd069ad463dad9c4641c4c987836f613a019f4/catalog/provider/6/3/6-1-19966-13.jpg?auto=webp&fit=cover&height=132&width=88",7,"Mixed"
"The King of Fighters EX: Neo Blood",NA,"Artoon","Sammy Studios","Rated T","Fighting",80,10,8,2,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/the-king-of-fighters-ex-neo-blood/","https://www.metacritic.com/a/img/resize/60cd5df04e578e9c2c0f603b30eef9778977782a/catalog/provider/6/3/6-1-14885-13.jpg?auto=webp&fit=cover&height=132&width=88",8,"Good"
"Fire Pro Wrestling (2001)","2001-06-10","Vaill","Bam Entertainment","Rated T","Fighting",80,10,9,1,0,7.5,4,3,0,1,"https://www.metacritic.com/game/fire-pro-wrestling-2001/","https://www.metacritic.com/a/img/resize/80489d167d9ed677752fa63167f10984e7e1c0be/catalog/provider/6/3/6-1-13132-13.jpg?auto=webp&fit=cover&height=132&width=88",7.75,"Good"
"Donkey Kong Country 2: Diddy's Kong Quest","2004-11-15","Rare Ltd.","Nintendo","Rated E","Platformer",80,22,16,6,0,8.6,71,60,7,4,"https://www.metacritic.com/game/donkey-kong-country-2-diddys-kong-quest/","https://www.metacritic.com/a/img/resize/ec672ee94e5eb350ce4b34e90aa80fee9b7cccad/catalog/provider/6/3/6-1-58220-13.jpg?auto=webp&fit=cover&height=132&width=88",8.3,"Good"
"Medal of Honor: Infiltrator","2003-11-17","Netherock Ltd.","Electronic Arts","Rated T","Shooter",80,19,15,4,0,7.6,8,6,1,1,"https://www.metacritic.com/game/medal-of-honor-infiltrator/","https://www.metacritic.com/a/img/resize/a749f5ae1b1631a4ad897d84a6e47f14de4b18d1/catalog/provider/6/3/6-1-56223-13.jpg?auto=webp&fit=cover&height=132&width=88",7.8,"Good"
"Rock N' Roll Racing","2003-06-23","Mass Media","Blizzard Classic Arcade","Rated E","Racing",80,12,10,2,0,8.2,16,13,1,2,"https://www.metacritic.com/game/rock-n-roll-racing/","https://www.metacritic.com/a/img/resize/9697ab05535773679bcaa36535636fce2ca9bb72/catalog/provider/6/3/6-1-19301-13.jpg?auto=webp&fit=cover&height=132&width=88",8.1,"Good"
"Baseball Advance","2002-03-20","Smilebit","THQ","Rated E","Sports",80,16,13,3,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/baseball-advance/","https://www.metacritic.com/a/img/resize/38c27ec5e30ee04f068272dd84b989eea0c65c59/catalog/provider/6/3/6-1-16429-13.jpg?auto=webp&fit=cover&height=132&width=88",8,"Good"
"Kirby & the Amazing Mirror","2004-10-18","Flagship","Nintendo","Rated E","Platformer",80,24,19,5,0,8.6,92,79,10,3,"https://www.metacritic.com/game/kirby-and-the-amazing-mirror/","https://www.metacritic.com/a/img/resize/a6d33731946da538c89f799c84a5513d4c57cbad/catalog/provider/6/12/6-1-372876-17.jpg?auto=webp&fit=cover&height=132&width=88",8.3,"Good"
"The Pinball of the Dead","2002-06-16","Sega","THQ","Rated T","Board and arcade",79,20,15,5,0,6.8,6,3,2,1,"https://www.metacritic.com/game/the-pinball-of-the-dead/","https://www.metacritic.com/a/img/resize/f732346c11c83d197cb08fc8219c02a6ae16e668/catalog/provider/6/3/6-1-15667-13.jpg?auto=webp&fit=cover&height=132&width=88",7.35,"Mixed"
"Pac-Man Collection","2001-07-12","Mass Media","Namco","Rated E","Board and arcade",79,13,10,3,0,7.8,9,5,4,0,"https://www.metacritic.com/game/pac-man-collection/","https://www.metacritic.com/a/img/resize/e07b172e02076334cbd752bed2883fb7b746f3b1/catalog/provider/6/12/6-1-363727-52.jpg?auto=webp&fit=cover&height=132&width=88",7.85,"Good"
"Final Fantasy I & II: Dawn of Souls","2004-11-29","TOSE","Nintendo","Rated E","Board and arcade",79,40,28,11,1,8,74,52,20,2,"https://www.metacritic.com/game/final-fantasy-i-and-ii-dawn-of-souls/","https://www.metacritic.com/a/img/resize/078abcaa54929376ac21a3126a4ae756af991ba1/catalog/provider/6/3/6-1-59417-13.jpg?auto=webp&fit=cover&height=132&width=88",7.95,"Good"
"Tak and the Power of Juju (2003)","2003-10-15","Helixe","THQ","Rated E","Platformer",79,28,22,6,0,5.3,7,2,3,2,"https://www.metacritic.com/game/tak-and-the-power-of-juju-2003/","https://www.metacritic.com/a/img/resize/d30694efcd15c1def9599d46bdce3467090b2957/catalog/provider/6/3/6-1-52330-13.jpg?auto=webp&fit=cover&height=132&width=88",6.6,"Mixed"
"Activision Anthology","2002-11-19","Contraband Entertainment","Activision","Rated E","Board and arcade",75,13,8,5,0,7.2,6,4,1,1,"https://www.metacritic.com/game/activision-anthology/","https://www.metacritic.com/a/img/resize/39e558e1cba98482edf6440999d2146239577fd3/catalog/provider/6/3/6-1-19501-13.jpg?auto=webp&fit=cover&height=132&width=88",7.35,"Mixed"
"Mega Man & Bass","2003-03-10","Capcom","Capcom","Rated E","Platformer",79,18,12,6,0,7.9,49,39,4,6,"https://www.metacritic.com/game/mega-man-and-bass/","https://www.metacritic.com/a/img/resize/7dcd4b692448cc9bfa5ac258dc03bfa58feeb08f/catalog/provider/6/3/6-1-52336-13.jpg?auto=webp&fit=cover&height=132&width=88",7.9,"Good"
"Namco Museum (2002)","2001-06-10","Mass Media","Namco","Rated E","Board and arcade",79,10,5,4,1,7.7,13,8,5,0,"https://www.metacritic.com/game/namco-museum-2002/","https://www.metacritic.com/a/img/resize/7ae2e758f7a458316ee0cf279248d76554169ecf/catalog/provider/6/3/6-1-10456-13.jpg?auto=webp&fit=cover&height=132&width=88",7.8,"Good"
"Metal Slug Advance","2004-12-02","Noise Factory","SNK Playmore","Rated T","Shooter",79,32,23,9,0,8.3,15,11,4,0,"https://www.metacritic.com/game/metal-slug-advance/","https://www.metacritic.com/a/img/resize/7e868fb1952357a3e78fb9b956b01742ba5d187d/catalog/provider/6/3/6-1-43933-13.jpg?auto=webp&fit=cover&height=132&width=88",8.1,"Good"
"Summon Night: Swordcraft Story 2","2006-10-17","Flight-Plan","Atlus","Rated T","RPG",79,10,7,3,0,8.4,12,8,4,0,"https://www.metacritic.com/game/summon-night-swordcraft-story-2/","https://www.metacritic.com/a/img/resize/2ac09c2440d6c4b2acad34b9d25fdf70b9ed6218/catalog/provider/6/3/6-1-59423-13.jpg?auto=webp&fit=cover&height=132&width=88",8.15,"Good"
"Super Dodge Ball Advance","2001-06-10","Million","Atlus","Rated E","Sports",79,11,7,4,0,7.8,5,4,0,1,"https://www.metacritic.com/game/super-dodge-ball-advance/","https://www.metacritic.com/a/img/resize/b2a37ad5d9ca428b8eaa996f23c74ab97a82ccf1/catalog/provider/6/3/6-1-13130-13.jpg?auto=webp&fit=cover&height=132&width=88",7.85,"Good"
"Sonic Advance 3","2004-06-07","Dimps Corporation","THQ","Rated E","Platformer",79,30,21,9,0,7.9,79,51,23,5,"https://www.metacritic.com/game/sonic-advance-3/","https://www.metacritic.com/a/img/resize/cbcb0163c145e092b90ab6ac7cd09b424d605bba/catalog/provider/6/3/6-1-57335-13.jpg?auto=webp&fit=cover&height=132&width=88",7.9,"Good"
"Lunar Legend","2002-12-10","Game Arts","Ubisoft","Rated E","RPG",79,20,16,3,1,6.3,6,3,2,1,"https://www.metacritic.com/game/lunar-legend/","https://www.metacritic.com/a/img/resize/5c435b7231321a012c0763cff12d47fa52ebb779/catalog/provider/6/3/6-1-17245-13.jpg?auto=webp&fit=cover&height=132&width=88",7.1,"Mixed"
"Breath of Fire","2001-12-13","Capcom","Capcom","Rated E","RPG",79,17,14,3,0,7.4,32,20,6,6,"https://www.metacritic.com/game/breath-of-fire/","https://www.metacritic.com/a/img/resize/c4fad3915a0ef704ae3aa2f67db21134db9be286/catalog/provider/6/3/6-1-13314-13.jpg?auto=webp&fit=cover&height=132&width=88",7.65,"Good"
"Madden NFL 2005","2004-08-09","EA Tiburon","Electronic Arts","Rated E","Sports",91,39,38,1,0,6.7,12,9,0,3,"https://www.metacritic.com/game/madden-nfl-2005/","https://www.metacritic.com/a/img/resize/92c35a6b1c70805ac03ee1711a06060790b0ce1d/catalog/provider/6/3/6-1-58528-13.jpg?auto=webp&fit=cover&height=132&width=88",7.9,"Good"
"Mega Man Battle Network","2001-10-30","Capcom","Capcom","Rated E","RPG",79,10,7,3,0,7.1,43,29,5,9,"https://www.metacritic.com/game/mega-man-battle-network/","https://www.metacritic.com/a/img/resize/00a9dfee3d42affc45c78a58d721147cc1c9bb83/catalog/provider/6/12/6-1-418629-52.jpg?auto=webp&fit=cover&height=132&width=88",7.5,"Good"
"Dave Mirra Freestyle BMX 3","2002-11-25","Full Fat","Acclaim","Rated E","Sports",78,15,12,3,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/dave-mirra-freestyle-bmx-3/","https://www.metacritic.com/a/img/resize/34730fc70515a06667909db4e3ce5d30b5904726/catalog/provider/6/3/6-1-19042-13.jpg?auto=webp&fit=cover&height=132&width=88",7.8,"Good"
"Wade Hixton's Counter Punch","2004-03-15","Inferno Games","Destination Software","Rated T","Fighting",78,13,10,3,0,8,6,5,0,1,"https://www.metacritic.com/game/wade-hixtons-counter-punch/","https://www.metacritic.com/a/img/resize/d67e8ba7b20df52c71d005ed82de04d2d6a57896/catalog/provider/6/3/6-1-57454-13.jpg?auto=webp&fit=cover&height=132&width=88",7.9,"Good"
"Klonoa 2: Dream Champ Tournament","2005-02-23","Now Production","Namco","Rated E","Platformer",78,20,17,2,1,8.5,17,15,0,2,"https://www.metacritic.com/game/klonoa-2-dream-champ-tournament/","https://www.metacritic.com/a/img/resize/159bb93aa1c65a497e437e9a188c3489bfaf026d/catalog/provider/6/3/6-1-20585-13.jpg?auto=webp&fit=cover&height=132&width=88",8.15,"Good"
"Konami Collector's Series: Arcade Advanced","2002-03-21","KCEA","Konami","Rated E","Board and arcade",78,10,5,5,0,8.5,4,3,1,0,"https://www.metacritic.com/game/konami-collectors-series-arcade-advanced/","https://www.metacritic.com/a/img/resize/d92123c726614e00aec7b8c247917ec3fa946f2a/catalog/provider/6/3/6-1-16159-13.jpg?auto=webp&fit=cover&height=132&width=88",8.15,"Good"
"Gradius Galaxies","2001-11-12","Mobile 21","Konami","Rated E","Shooter",78,17,10,7,0,8,6,5,0,1,"https://www.metacritic.com/game/gradius-galaxies/","https://www.metacritic.com/a/img/resize/15ef5b5519a4d2df002769158c28fa7c68654753/catalog/provider/6/3/6-1-14961-13.jpg?auto=webp&fit=cover&height=132&width=88",7.9,"Good"
"Donkey Kong Country","2003-06-09","Rare Ltd.","Nintendo","Rated E","Platformer",78,26,20,6,0,8.5,86,74,9,3,"https://www.metacritic.com/game/donkey-kong-country/","https://www.metacritic.com/a/img/resize/9e0ce8222dd742a848bb9f7f07cbcb1fe71607a1/catalog/provider/6/3/6-1-11333-13.jpg?auto=webp&fit=cover&height=132&width=88",8.15,"Good"
"Super Ghouls 'n Ghosts","2002-09-23","Affect","Capcom","Rated E","Platformer",78,19,14,5,0,8.1,20,16,2,2,"https://www.metacritic.com/game/super-ghouls-n-ghosts/","https://www.metacritic.com/a/img/resize/99f38e949fbab8b19d2184629eedc6aded92ae5f/catalog/provider/6/3/6-1-17421-13.jpg?auto=webp&fit=cover&height=132&width=88",7.95,"Good"
"Max Payne (2003)","2003-12-16","Mobius Entertainment","Rockstar Games","Rated M","Shooter",78,33,20,13,0,8.4,19,16,1,2,"https://www.metacritic.com/game/max-payne-2003/","https://www.metacritic.com/a/img/resize/0986113df27e6d2a27599fe6b2eb3bd11287a774/catalog/provider/6/3/6-1-9822-13.jpg?auto=webp&fit=cover&height=132&width=88",8.1,"Good"
"Rebelstar: Tactical Command","2005-09-06","Codo Games","Namco","Rated E +10","Strategy",78,29,21,8,0,7,6,3,2,1,"https://www.metacritic.com/game/rebelstar-tactical-command/","https://www.metacritic.com/a/img/resize/bb4b7b2c006e55fd3cd81f27175fbd72d55d2805/catalog/provider/6/3/6-1-66879-13.jpg?auto=webp&fit=cover&height=132&width=88",7.4,"Mixed"
"Konami Krazy Racers","2001-06-10","KCEK","Konami","Rated E","Racing",78,9,8,1,0,8,5,4,0,1,"https://www.metacritic.com/game/konami-krazy-racers/","https://www.metacritic.com/a/img/resize/91ac57fb86a2e7acba46c32ae914e2d442e90b3b/catalog/provider/6/12/6-1-587187-52.jpg?auto=webp&fit=cover&height=132&width=88",7.9,"Good"
"Top Gear Rally","2003-10-28","Tantalus","Nintendo","Rated E","Racing",78,12,9,3,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/top-gear-rally/","https://www.metacritic.com/a/img/resize/21009caf84da9085600ddb2036e708361cfa3d7d/catalog/provider/6/3/6-1-53346-13.jpg?auto=webp&fit=cover&height=132&width=88",7.8,"Good"
"Iridion II","2003-05-29","Shin'en","Majesco","Rated E","Shooter",78,13,9,4,0,8.1,9,7,2,0,"https://www.metacritic.com/game/iridion-ii/","https://www.metacritic.com/a/img/resize/19f6655a39aecb607874eb78d8f576beaa974792/catalog/provider/6/3/6-1-54021-13.jpg?auto=webp&fit=cover&height=132&width=88",7.95,"Good"
"Iridion II","2003-05-29","Shin'en","Majesco","Rated E","Shooter",78,13,9,4,0,8.1,9,7,2,0,"https://www.metacritic.com/game/iridion-ii/","https://www.metacritic.com/a/img/resize/19f6655a39aecb607874eb78d8f576beaa974792/catalog/provider/6/3/6-1-54021-13.jpg?auto=webp&fit=cover&height=132&width=88",7.95,"Good"
"Road Rash: Jailbreak","2003-09-11","Magic Pockets","Electronic Arts","Rated T","Racing",78,15,10,5,0,5.2,10,5,1,4,"https://www.metacritic.com/game/road-rash-jailbreak/","https://www.metacritic.com/a/img/resize/a0721cc06af1fb7a40d1c255fb742f537ad13def/catalog/provider/6/3/6-1-6790-13.jpg?auto=webp&fit=cover&height=132&width=88",6.5,"Mixed"
"Crash Bandicoot: The Huge Adventure","2002-02-25","Vicarious Visions","Universal Interactive","Rated E","Platformer",78,18,11,7,0,8,87,68,13,6,"https://www.metacritic.com/game/crash-bandicoot-the-huge-adventure/","https://www.metacritic.com/a/img/resize/3e84bfaf9bf93e5aa0f38427c1951f6ac1a3ba56/catalog/provider/6/3/6-1-14954-13.jpg?auto=webp&fit=cover&height=132&width=88",7.9,"Good"
"Hamtaro: Ham-Ham Games","2004-07-27","Alphadream Corporation","Nintendo","Rated E","Sports",77,20,13,7,0,7.5,6,4,1,1,"https://www.metacritic.com/game/hamtaro-ham-ham-games/","https://www.metacritic.com/a/img/resize/520fe9057fcec0f2ff44d6b0f3e0e939683e7221/catalog/provider/6/3/6-1-60655-13.jpg?auto=webp&fit=cover&height=132&width=88",7.6,"Good"
"Mega Man Zero 3","2004-10-05","Inti Creates","Capcom","Rated E","Platformer",77,21,12,9,0,8,64,53,2,9,"https://www.metacritic.com/game/mega-man-zero-3/","https://www.metacritic.com/a/img/resize/7ed45e02fcf4e15e6ecd57b49517e5c2eb0e0585/catalog/provider/6/12/6-1-540236-52.jpg?auto=webp&fit=cover&height=132&width=88",7.85,"Good"
"Car Battler Joe","2002-10-21","Ancient","Natsume","Rated E","RPG",77,11,9,1,1,7.3,4,3,0,1,"https://www.metacritic.com/game/car-battler-joe/","https://www.metacritic.com/a/img/resize/47c7fc4adb092708a00fb509f6c1a78eaa45723b/catalog/provider/6/3/6-1-20666-13.jpg?auto=webp&fit=cover&height=132&width=88",7.5,"Good"
"Stuntman","2002-06-25","Reflections Interactive","Infogrames","Rated T","Racing",71,37,19,14,4,5.5,30,8,12,10,"https://www.metacritic.com/game/stuntman/","https://www.metacritic.com/a/img/resize/a18048b151c3e30f96cc2880240a933ceba150cb/catalog/provider/6/3/6-1-13846-13.jpg?auto=webp&fit=cover&height=132&width=88",6.3,"Mixed"
"Yggdra Union: We'll Never Fight Alone","2008-09-16","Sting","Atlus","Rated T","Strategy",73,17,9,7,1,8.1,23,18,3,2,"https://www.metacritic.com/game/yggdra-union-well-never-fight-alone/","https://www.metacritic.com/a/img/resize/0cedb35ac9aabbb220ac6209a078614ad9484411/catalog/provider/6/3/6-1-72077-13.jpg?auto=webp&fit=cover&height=132&width=88",7.7,"Good"
"GT Advance 2: Rally Racing","2002-06-30","MTO","THQ","Rated E","Racing",77,12,6,6,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/gt-advance-2-rally-racing/","https://www.metacritic.com/a/img/resize/13985a06dbf1f955b8110e7cadf9b4b2969ea83d/catalog/provider/6/3/6-1-18163-13.jpg?auto=webp&fit=cover&height=132&width=88",7.7,"Good"
"Mega Man Zero 4","2005-10-04","Inti Creates","Capcom","Rated E","Platformer",77,17,14,2,1,8,59,46,6,7,"https://www.metacritic.com/game/mega-man-zero-4/","https://www.metacritic.com/a/img/resize/259d4baf65158d4c1ee5e327a7dcd4c421b1301f/catalog/provider/6/12/6-1-590760-52.jpg?auto=webp&fit=cover&height=132&width=88",7.85,"Good"
"F-Zero: GP Legend","2004-09-20","Suzak","Nintendo","Rated E","Racing",77,31,22,9,0,8.3,30,25,4,1,"https://www.metacritic.com/game/f-zero-gp-legend/","https://www.metacritic.com/a/img/resize/21255d65e448639950e13f4b20d76a4f32601995/catalog/provider/6/3/6-1-57618-13.jpg?auto=webp&fit=cover&height=132&width=88",8,"Good"
"Donkey Kong Country 3: Dixie Kong's Double Trouble!","2005-11-07","Rare Ltd.","Nintendo","Rated E","Platformer",77,16,12,4,0,8.2,39,32,4,3,"https://www.metacritic.com/game/donkey-kong-country-3-dixie-kongs-double-trouble/","https://www.metacritic.com/a/img/resize/beb1ebcb73d7bb2a7e9a83599fb010cb2485fcd9/catalog/provider/6/3/6-1-68497-13.jpg?auto=webp&fit=cover&height=132&width=88",7.95,"Good"
"Summon Night: Swordcraft Story","2006-07-26","Flight-Plan","Atlus","Rated E +10","RPG",77,20,13,7,0,7.8,22,16,4,2,"https://www.metacritic.com/game/summon-night-swordcraft-story/","https://www.metacritic.com/a/img/resize/d27b93e1984184bc440fea4a2323db60a77cc167/catalog/provider/6/3/6-1-44177-13.jpg?auto=webp&fit=cover&height=132&width=88",7.75,"Good"
"Mech Platoon","2002-01-03","Will","Kemco","Rated E","Strategy",77,7,4,3,0,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/mech-platoon/","https://www.metacritic.com/a/img/resize/605313111d8d5fbe27c77f4bf7c8bd6d8770d0e5/catalog/provider/6/3/6-1-15468-13.jpg?auto=webp&fit=cover&height=132&width=88",7.7,"Good"
"Mega Man Battle Network 3: White Version","2003-06-24","Capcom","Capcom","Rated E","RPG",77,16,11,5,0,7.2,49,35,3,11,"https://www.metacritic.com/game/mega-man-battle-network-3-white/","https://www.metacritic.com/a/img/resize/bf5b9a13ef3fdef17ad8d6916e9bbb4fbccd1319/catalog/provider/6/12/6-1-611961-52.jpg?auto=webp&fit=cover&height=132&width=88",7.45,"Mixed"
"Shining Force: Resurrection of the Dark Dragon","2004-06-08","Amusement Vision","Atlus","Rated T","Strategy",77,20,15,5,0,8.4,17,14,2,1,"https://www.metacritic.com/game/shining-force-resurrection-of-the-dark-dragon/","https://www.metacritic.com/a/img/resize/2a0ddda567e6d3a681b09a6e5220ebda1e26e56b/catalog/provider/6/3/6-1-57339-13.jpg?auto=webp&fit=cover&height=132&width=88",8.05,"Good"
"DOOM II","2010-05-26","id Software","Bethesda Softworks","Rated M","Shooter",77,28,20,8,0,8.4,111,89,11,11,"https://www.metacritic.com/game/doom-ii/","https://www.metacritic.com/a/img/resize/1118ecf521d8e233b190f8c753d312b856392c64/catalog/provider/6/3/6-1-3068-13.jpg?auto=webp&fit=cover&height=132&width=88",8.05,"Good"
"Disney's Kim Possible 2: Drakken's Demise","2004-09-15","Artificial Mind and Movement","Disney Interactive","Rated E","Platformer",77,8,5,3,0,7,7,4,1,2,"https://www.metacritic.com/game/disneys-kim-possible-2-drakkens-demise/","https://www.metacritic.com/a/img/resize/fa0e695c136d61bb9d9343e82e6e8c2c6c230a97/catalog/provider/6/3/6-1-60784-13.jpg?auto=webp&fit=cover&height=132&width=88",7.35,"Mixed"
"Tom Clancy's Splinter Cell","2002-11-17","Ubisoft Montreal","Ubisoft","Rated T","Action/Adventure",93,46,46,0,0,8.5,122,100,18,4,"https://www.metacritic.com/game/tom-clancys-splinter-cell/","https://www.metacritic.com/a/img/resize/9609cc7311a95bf5f66af5a39ec2333439958493/catalog/provider/6/3/6-1-17360-13.jpg?auto=webp&fit=cover&height=132&width=88",8.9,"Good"
"Need for Speed: Underground","2003-11-17","EA Black Box","Electronic Arts","Rated E","Racing",85,33,30,3,0,8.6,201,168,29,4,"https://www.metacritic.com/game/need-for-speed-underground/","https://www.metacritic.com/a/img/resize/05774d020fc7fe8550c0388fdb160fdc8660d698/catalog/provider/6/3/6-1-53245-13.jpg?auto=webp&fit=cover&height=132&width=88",8.55,"Good"
"Sonic Pinball Party","2003-06-01","Sonic Team","Sega","Rated E","Board and arcade",77,15,11,3,1,6.4,14,5,7,2,"https://www.metacritic.com/game/sonic-pinball-party/","https://www.metacritic.com/a/img/resize/6f8e02673c14153463040f39e51760c6c1853930/catalog/provider/6/3/6-1-52172-13.jpg?auto=webp&fit=cover&height=132&width=88",7.05,"Mixed"
"Super Bust-A-Move","2000-11-26","Taito Corporation","Acclaim","Rated E","Puzzle",75,11,3,7,1,NA,NA,NA,NA,NA,"https://www.metacritic.com/game/super-bust-a-move/","https://www.metacritic.com/a/img/resize/292c03e1a29db5250ad51d96104ba5c529e9b0a4/catalog/provider/6/3/6-1-11905-13.jpg?auto=webp&fit=cover&height=132&width=88",7.5,"Good"
"The Lord of the Rings: The Return of the King","2003-11-05","EA Games","Electronic Arts","Rated T","RPG",85,31,28,2,1,8.5,186,157,23,6,"https://www.metacritic.com/game/the-lord-of-the-rings-the-return-of-the-king/","https://www.metacritic.com/a/img/resize/d0c4190b110b3c56ebe04046fbf4d7987d0efd3b/catalog/provider/6/3/6-1-18834-13.jpg?auto=webp&fit=cover&height=132&width=88",8.5,"Good"
